"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
CXBN-2 (Cosmic X-Ray Background Nanosatellite-2),NR (10/17),USA,Morehead State University,Civil,Space Science,,LEO,Non-Polar Inclined,0,400,406,4.43E-04,51.6,92.6,2,,,04/18/17,.5 yrs.,Morehead State University,USA,International Space Station,Nanorack Deployer,1998-067LM,42704,Make observations of the diffuse X-ray background,
CYGNSS FM01 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.96,95.16,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078D,41887,,
CYGNSS FM02 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,536,1.60E-03,34.97,95.13,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078C,41886,,
CYGNSS FM03 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,533,1.38E-03,34.96,95.1,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078H,41891,,
CYGNSS FM04 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,1.38E-03,34.95,95.13,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078B,41885,,
CYGNSS FM05 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.96,95.15,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078A,41884,"8-satellite constellation to return measurements of winds at the cores of hurricanes to better understand the formation, growth and dissipation of tropical cyclones.",
CYGNSS FM06 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,1.38E-03,34.96,95.12,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078F,41889,,
CYGNSS FM07 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,534,1.45E-03,34.96,95.12,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078G,41890,,
CYGNSS FM08 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.95,95.15,29,,,12/15/16,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078E,41888,,
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,3.57E-04,97.88,97.36,2120,,5200,05/24/14,7 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-029A,39766,Follow-on to ALOS-1 mission.,
DAMPE (Dark Matter Particle Explorer),NR,China,Chinese Academy of Science,Government,Space Science,,LEO,Sun-Synchronous,0,488,505,1.24E-03,97.3,94.54,1850,,,12/17/15,3 yrs.,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173,First dedicated astrophysics observatory put into space by China.,
"DCBB (Kaituo-1B, CAS-3G)",NR,China,China Amateur Satellite - CAMSAT,Civil,Technology Development,,LEO,Sun-Synchronous,0,514,536,1.60E-03,97.46,95.13,3,,,09/19/15,,Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912,,
Deimos 1,Spain,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,662,7.11E-05,98,98,90,,,07/29/09,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041A,35681,Part of international Disaster Monitoring Constellation.,
